ID_REF,GSM432926,GSM432927,GSM432928,GSM432929,GSM432930,GSM432931
221812_at,5.347398055,5.4136692,5.054557049,5.811591442,5.849576195,5.763796642
221813_at,5.460104791,5.113174631,5.237910756,5.657939227,5.478368533,5.710709811
221814_at,4.00491127,4.022566538,3.79515213,4.09513385,4.109425657,4.089772198
221816_s_at,4.827763377,4.776515845,4.725251181,3.759473029,3.832218261,3.865929493
221817_at,6.832864967,7.036058977,6.828640307,6.892319289,6.78752362,6.876481457
221818_at,5.572102556,5.577588706,5.342684297,6.013257577,5.866161995,5.600542949
221819_at,6.798670341,6.639078597,6.755220186,6.591492842,6.510808105,6.708051748
221820_s_at,6.215246921,5.940221382,6.105103726,5.884290887,5.871450701,5.89620979
221821_s_at,7.210532127,7.448935847,7.221948064,7.4600834,7.464103551,7.480182166
221822_at,5.850162044,5.287713469,5.761498598,5.970172703,5.310348809,5.719347295
221823_at,5.995873159,6.295401259,5.842958888,6.105867051,6.17390612,5.985647137
221824_s_at,5.838394797,6.171554209,5.909164542,5.961029687,5.773289048,5.64222134
221826_at,5.385622153,5.569795494,5.490908689,5.626134063,5.834248955,5.588113363
221827_at,7.046577574,6.950009801,6.763815512,7.347972865,7.095570669,7.085672727
221829_s_at,8.69543633,8.685122868,8.573408147,7.410788237,8.644475436,8.661312636
221830_at,7.7232673,7.753526343,7.541413164,6.672320338,7.843385239,7.766201002
221832_s_at,4.686389634,4.988113406,4.614105498,5.139470346,4.942503863,4.873392715
221834_at,3.909040725,4.160577326,3.846844045,4.736959497,4.412168746,4.199103478
221837_at,4.302256712,3.998314121,4.297511316,3.949101911,4.2435354,4.572553164
221838_at,4.210623872,4.216919207,4.11842479,4.702443644,4.577605677,4.594828431
221839_s_at,6.512665552,6.08742085,6.285284399,5.998705165,6.018007744,6.034972077
221841_s_at,5.397815151,5.668908718,5.247953957,5.719098244,5.587542511,5.345889264
221842_s_at,6.872394008,6.992273735,6.853482369,6.725259489,7.257493572,6.948141774
221843_s_at,5.227065574,5.212241235,4.954475468,5.542174448,5.383151089,5.149939804
221844_x_at,8.158911346,8.108795388,8.061536473,8.191460764,8.169130345,8.08894505
221845_s_at,6.899326822,6.674248787,6.828640307,7.324092324,6.844284033,6.975949999
221846_s_at,5.344050078,5.292304593,5.277555689,5.434562206,5.502882503,5.281849057
221847_at,7.611058281,7.735803769,7.548904871,8.026512492,8.002139997,7.929870732
221848_at,5.278010027,5.09135437,5.204479141,5.330883066,4.97275769,5.073164166
221849_s_at,5.488143545,5.330920216,5.297607952,5.358937173,5.392249436,5.194534616
221851_at,4.902782085,4.843011575,4.9839511,4.711307586,5.03700235,4.79659975
221855_at,5.908845424,5.909824286,5.84409738,6.125987605,5.84906351,6.199902223
221856_s_at,4.706477763,4.619252232,4.464495475,4.521435139,4.318268527,4.575400251
221857_s_at,4.110700316,4.156747475,4.136053819,4.307312803,4.158130781,4.183133486
221858_at,5.835008658,5.74337114,5.469188063,5.442933896,5.39759235,5.304663467
221863_at,3.880022806,3.889812485,4.202051473,4.18617803,4.030006795,4.21752996
221865_at,6.241611968,6.194795676,6.05578995,5.614189922,5.634148528,5.291907243
221867_at,4.513875752,4.823606045,4.197545963,4.801215963,4.708048857,4.623585957
221869_at,3.838953836,3.985338256,3.697559371,3.963098325,4.435837301,3.729026231
221870_at,4.186618003,4.31109089,4.112901739,4.438395925,4.268734374,4.514553714
221876_at,4.812686323,5.133005712,4.843461869,5.33159315,5.324416868,4.785621384
221877_at,5.772319397,5.500094892,5.758209095,6.078553353,5.392475238,5.862368771
221878_at,3.999675484,3.724536566,4.069528273,4.405097028,4.147257529,4.426082719
221879_at,4.212586718,4.056397412,3.999359142,4.351535612,4.013420962,4.168775025
221881_s_at,6.402557909,6.522678061,6.581699376,6.187017023,6.129643201,6.681447747
221882_s_at,6.014917116,5.910143942,5.910143942,5.835868524,5.833721986,5.779342402
221883_at,5.952397883,5.960937071,5.893664246,5.960909133,5.851804695,5.89434963
221884_at,5.397354861,5.264575002,5.087949907,5.331595854,5.496689449,5.506066274
221887_s_at,4.121098258,3.98195214,3.947559676,4.14682322,4.260826595,4.130612272
221888_at,4.349324332,4.239613369,4.240808683,4.500252071,4.493528329,4.404029133
221889_at,5.618887657,5.600495017,5.407361334,5.398482846,5.272944646,5.453923045
221890_at,5.190463225,4.981547936,5.186045125,5.347603822,5.234943211,5.143039877
221891_x_at,9.937074541,9.791719634,10.05299199,9.768655562,9.803249316,9.77014574
221893_s_at,6.412630762,6.716822358,6.383837902,6.888072194,6.806583237,6.593659427
