Gene,t,group1_median,group2_median,log2FC,pval,FDR,Gene Symbol,ENTREZ_GENE_ID
220174_at,-0.708563103330045,4.506891995,4.151555455,-0.3553365400000006,0.5177053344853434,0.6871636813572377,LRRC8E,80131
213554_s_at,0.7083993500695336,7.097635296,7.136548335,0.03891303899999965,0.5177967248854876,0.6871745241992505,CDV3,55573
211934_x_at,0.7082540062018252,8.501487666,8.540120368,0.03863270200000102,0.5178778509007845,0.6872271433265337,GANAB,23193
209938_at,-0.7081769284917377,4.918277425,4.807573219,-0.1107042060000003,0.5179208768272973,0.687229199019099,TADA2A,6871
226447_at,0.7078217460381221,6.189090534,6.278680149,0.0895896150000004,0.5181191786735732,0.6874372734979527,ASH1L,55870
223116_at,0.7074091372440584,4.602637263,4.698333019,0.09569575599999958,0.5183496117542107,0.6876879427620719,BCAR1,9564
222191_s_at,-0.7071223884757375,5.250707546,5.137183982,-0.1135235640000003,0.5185097987536916,0.6877455150458949,B4GALT7,11285
201917_s_at,0.707108548407643,6.832419679,6.703514778,-0.1289049010000003,0.5185175311698544,0.6877455150458949,SLC25A36,55186
231928_at,0.7071577802182624,3.962251644,4.014251037,0.051999393000000005,0.5184900258459785,0.6877455150458949,HES2,54626
222660_s_at,-0.7066305635731551,3.912090073,3.863474649,-0.04861542399999985,0.518784631858522,0.6878603582119022,RNF38,152006
203753_at,-0.7068019082013294,4.921333027,4.871231978,-0.05010104900000023,0.5186888719590586,0.6878603582119022,TCF4,6925
56821_at,0.7068111583617038,4.353867695,4.395926036,0.04205834099999972,0.5186837026600778,0.6878603582119022,SLC38A7,55238
224512_s_at,-0.7065355226397427,8.261287709,8.217422799,-0.043864909999999924,0.5188377532332273,0.6878603582119022,NAA38,84316
218797_s_at,-0.7065078784293254,6.800146872,6.806668647,0.006521775000000396,0.5188532051984038,0.6878603582119022,SIRT7,51547
239607_at,0.7066524322163602,4.232244037,4.24143521,0.009191172999999608,0.5187724093452708,0.6878603582119022,GPR156,165829
222792_s_at,-0.7063413032290243,8.810709092,8.675180417,-0.13552867499999977,0.5189463209143559,0.6879287615993249,CCDC59,29080
201674_s_at,0.7058115223647756,6.833358663,6.769473248,-0.06388541500000056,0.5192425499333012,0.6880392850688437,AKAP1,8165
226934_at,-0.7057466185043637,5.947329703,5.955900294,0.008570590999999794,0.5192788496460794,0.6880392850688437,CPSF6,11052
208841_s_at,0.7058902384549826,8.508662211,8.612232398,0.10357018699999898,0.5191985277369271,0.6880392850688437,G3BP2,9908
61874_at,-0.7059281736823867,5.833618392,5.794345711,-0.03927268099999992,0.5191773133244263,0.6880392850688437,CACFD1,11094
234339_s_at,0.7060985016188617,7.766167328,7.878817951,0.1126506230000004,0.5190820690854873,0.6880392850688437,GLTSCR2 /// SNORD23,29997 /// 692091
